message_id,timestamp,channel,label,scam_type,language,message_text_original,message_text_english,message_text_roman,sender_type,contains_url,urgency_words,threat_words,financial_keywords,confidence,annotator_id,notes,scam_indicators,target_entity,risk_severity
ISDD_WHATSAPP_00702,2026-05-12T10:50:00Z,WHATSAPP,0,,marathi,तुझा प्रोजेक्ट मी पाहिला. छान आहे! (8) [v702],I saw your project. It looks great! (8) [v702],Tujha project changla aahe (8),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00645,2026-05-12T10:29:00Z,WHATSAPP,1,UPI_FRAUD,english,Alert: Google Pay payment failed. Re-verify UPI at http://training-only.invalid/pay [v645],Alert: Google Pay payment failed. Re-verify UPI at http://training-only.invalid/pay [v645],Alert: Google Pay payment failed. Re-verify at http://training-only.invalid/pay,unknown,True,False,False,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,GOOGLE_PAY,high
ISDD_WHATSAPP_01257,2026-05-12T10:57:00Z,SMS,0,,hinglish,"Bro send me the project file when free, no rush. (13) [v1257]","Bro send me the project file when free, no rush. (13) [v1257]",Send project file when free (13),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01074,2026-05-12T10:57:00Z,SMS,1,LOTTERY_PRIZE_SCAM,hinglish,"Amazon raffle winner! ₹25,000 prize. Click http://example-training.invalid/verify to redeem.","Amazon raffle winner! ₹25,000 prize. Click http://example-training.invalid/verify to redeem.","Amazon raffle winner Rs 25,000. Click http://example-training.invalid/verify",unknown,True,False,False,False,0.87,SYNTH_ISDD,Synthetic LOTTERY_PRIZE_SCAM sample for ISDD v1.0,urgent_language|suspicious_link|impersonation,LOTTERY_ORGANIZATION,medium
ISDD_SMS_00004,2026-05-12T10:21:00Z,SMS,1,UPI_FRAUD,hindi,आपका Google Pay अकाउंट सीमित हो गया। तुरंत सत्यापित करें: http://training-only.invalid/pay [v4],Your Google Pay account is limited. Verify immediately: http://training-only.invalid/pay [v4],Aapka Google Pay account seemit ho gaya. Turant satyapit karein: http://training-only.invalid/pay,unknown,True,False,False,False,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,GOOGLE_PAY,high
ISDD_EMAIL_00541,2026-05-12T10:02:00Z,SMS,1,BANK_IMPERSONATION,english,SBI Alert: Unusual activity. Verify account: http://training-only.invalid/pay [v541],SBI Alert: Unusual activity. Verify account: http://training-only.invalid/pay [v541],SBI alert verify: http://training-only.invalid/pay,unknown,True,False,False,True,0.94,SYNTH_ISDD,Synthetic BANK_IMPERSONATION sample for ISDD v1.0,banking_impersonation|account_threat|suspicious_link,SBI_BANK,high
ISDD_EMAIL_00255,2026-05-12T10:14:00Z,SMS,0,,marathi,मी तुम्हाला संध्याकाळी भेटू. ठीक आहे का? (11) [v255],I will meet you this evening. OK? (11) [v255],Mi tumhala sandhyakali bhetu. (11),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_01198,2026-05-12T10:27:00Z,WHATSAPP,1,UPI_FRAUD,marathi,तुमचे WhatsApp Pay खाते ब्लॉक झाले. लगेच लिंक उघडा: http://demo-scam-lab.invalid/kyc [v1198],Your WhatsApp Pay account is blocked. Open link immediately: http://demo-scam-lab.invalid/kyc [v1198],Tumche WhatsApp Pay khate block zale. Lagech link ughda: http://demo-scam-lab.invalid/kyc,unknown,True,True,True,True,0.92,SYNTH_ISDD,Synthetic UPI_FRAUD sample for ISDD v1.0,urgent_language|account_threat|suspicious_link|impersonation,WHATSAPP_PAY,high
ISDD_SMS_01131,2026-05-12T10:49:00Z,SMS,1,OTP_PASSWORD_THEFT,hinglish,Bank needs your CVV and expiry to unblock card. Share now.,Bank needs your CVV and expiry to unblock card. Share now.,Share CVV and expiry to unblock card,unknown,False,True,True,True,0.97,SYNTH_ISDD,Synthetic OTP_PASSWORD_THEFT sample for ISDD v1.0,personal_info_request|banking_impersonation|urgent_language,OTHER,critical
ISDD_SMS_01763,2026-05-12T10:49:00Z,SMS,0,,telugu,రేపు లంచ్ కలుద్దామా? (25) [v1763],Shall we meet for lunch tomorrow? (25) [v1763],Repu lunch kaluddama (25),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_01510,2026-05-12T10:27:00Z,SMS,0,,english,Reminder: Team standup at 10 AM in Room 204. (16) [v1510],Reminder: Team standup at 10 AM in Room 204. (16) [v1510],Standup 10 AM room 204 (16),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_WHATSAPP_00369,2026-05-12T10:06:00Z,WHATSAPP,0,,telugu,రేపు లంచ్ కలుద్దామా? (25) [v369],Shall we meet for lunch tomorrow? (25) [v369],Repu lunch kaluddama (25),personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_EMAIL_00081,2026-05-12T10:40:00Z,WHATSAPP,0,,hindi,"माँ, मैं होस्टल पहुँच गया। एक घंटे बाद कॉल करूँगा। (37) [v81]","Mom, I reached the hostel. Will call in an hour. (37) [v81]","Maa, hostel pahunch gaya. (37)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
ISDD_SMS_00484,2026-05-12T10:36:00Z,EMAIL,0,,hindi,"नमस्ते, कल मीटिंग 2 बजे है। कृपया आ जाइए। (40) [v484]","Hi, meeting tomorrow at 2 PM. Please come. (40) [v484]","Namaste, kal meeting 2 baje hai. (40)",personal,False,False,False,False,0.98,SYNTH_ISDD,Legitimate communication sample,,NONE,low
